P100,B100,777.0,INCOMING,2026-03-07T17:30:52.490511900
P101,B101,432.0,INCOMING,2026-03-07T19:42:56.567432500
P102,B102,432.0,INCOMING,2026-03-07T20:09:23.845083200
P103,B103,432.0,INCOMING,2026-03-07T20:09:42.922899100
P104,B104,432.0,INCOMING,2026-03-07T20:10:28.825851
P105,B105,432.0,INCOMING,2026-03-07T20:59:46.890041800
P106,B106,211.0,INCOMING,2026-03-07T21:09:38.053961100
P107,B107,299.0,INCOMING,2026-03-07T21:11:40.781855
P108,B108,211.0,INCOMING,2026-03-07T21:26:09.376222900
P109,B109,444.0,INCOMING,2026-03-08T06:58:25.925216800
P110,B110,444.0,INCOMING,2026-03-08T07:23:54.548569600
P111,B111,211.0,INCOMING,2026-03-08T07:23:59.687381
P112,B112,21.0,INCOMING,2026-03-08T07:25:08.951200700
P113,B113,21.0,INCOMING,2026-03-08T07:26:08.821526500
P114,B114,444.0,INCOMING,2026-03-08T07:29:52.089827400
P115,B115,444.0,INCOMING,2026-03-08T07:47:29.274924300
P116,B116,21.0,INCOMING,2026-03-08T07:47:36.526982800
P117,B117,21.0,INCOMING,2026-03-08T07:47:49.838099100
P118,B118,43.0,INCOMING,2026-03-08T08:06:47.802140200
P119,B119,21.0,INCOMING,2026-03-08T08:17:54.882567200
