B100,U102,BOARDROOM,333,2025-03-05,09:00,12:00,777.0,2026-03-07T17:30:52.487508600,CANCELLED
B101,U102,BANQUET,221,2025-03-05,09:00,12:00,432.0,2026-03-07T19:42:56.563433,CONFIRMED
B102,U105,BANQUET,221,2026-03-07,16:48,18:48:09.323,432.0,2026-03-07T20:09:23.842104800,CONFIRMED
B103,U105,BANQUET,221,2026-03-07,16:48,18:48:09.323,432.0,2026-03-07T20:09:42.920903800,CONFIRMED
B104,U105,BANQUET,221,2026-03-07,16:48,18:48:09.323,432.0,2026-03-07T20:10:28.824771900,CONFIRMED
B105,U102,BANQUET,221,2026-03-07,16:48,18:48:09.323,432.0,2026-03-07T20:59:46.886039200,CONFIRMED
B106,U102,AUDITORIUM,1111,2026-03-07,18:04:36.922,18:04:36.923,211.0,2026-03-07T21:09:38.050830,CANCELLED
B107,U102,AUDITORIUM,111,2026-03-07,02:19,17:19:08.286,299.0,2026-03-07T21:11:40.778853300,CONFIRMED
B108,U102,AUDITORIUM,1111,2028-09-18,18:04:36.922,18:04:36.923,211.0,2026-03-07T21:26:09.373227500,CONFIRMED
B109,U102,BOARDROOM,333,2026-03-08,01:57,12:57,444.0,2026-03-08T06:58:25.921222,CONFIRMED
B110,U102,BOARDROOM,333,2026-03-08,01:57,12:57,444.0,2026-03-08T07:23:54.543176300,CANCELLED
B111,U102,AUDITORIUM,1111,2026-03-08,18:04:36.922,18:04:36.923,211.0,2026-03-08T07:23:59.686365900,CANCELLED
B112,U102,BANQUET,444,2026-03-08,07:24:45.061,07:24:45.063,21.0,2026-03-08T07:25:08.950172500,CANCELLED
B113,U102,BANQUET,444,2026-03-08,07:24:45.061,07:24:45.063,21.0,2026-03-08T07:26:08.820545500,CANCELLED
B114,U102,BOARDROOM,333,2026-03-08,01:57,12:57,444.0,2026-03-08T07:29:52.084828,CONFIRMED
B115,U102,BOARDROOM,333,2026-03-08,01:57,12:57,444.0,2026-03-08T07:47:29.269924400,CONFIRMED
B116,U102,BANQUET,444,2026-03-08,07:24:45.061,07:24:45.063,21.0,2026-03-08T07:47:36.525985100,CONFIRMED
B117,U102,BANQUET,444,2026-03-08,07:24:45.061,07:24:45.063,21.0,2026-03-08T07:47:49.837103900,CONFIRMED
B118,U102,AUDITORIUM,555,2026-03-08,08:06:31.150,08:06:31.160,43.0,2026-03-08T08:06:47.797140300,CONFIRMED
B119,U102,BANQUET,444,2026-03-08,07:24:45.061,07:24:45.063,21.0,2026-03-08T08:17:54.881333700,CONFIRMED
B120,U103,BANQUET,777,2026-03-08,10:50,14:50:25.248,3232.0,2026-03-08T18:19:24.210371,CONFIRMED
B121,U108,BANQUET,777,2026-03-08,18:50,21:50,3232.0,2026-03-08T19:19:48.418925900,CONFIRMED
